PROVINCE,DISTRICT,DIVISION,DivID
RIFT VALLEY,BARINGO,BARTABWA,1
RIFT VALLEY,BARINGO,BARWESA,2
RIFT VALLEY,BARINGO,KABARNET,3
RIFT VALLEY,BARINGO,KABARTONJO,4
RIFT VALLEY,BARINGO,KIPSARAMAN,5
RIFT VALLEY,BARINGO,KOLLOWA,6
RIFT VALLEY,BARINGO,MOCHONGOI,7
RIFT VALLEY,BARINGO,SALAWA,8
RIFT VALLEY,BARINGO,NGINYANG,9
RIFT VALLEY,BARINGO,MARIGAT,10
RIFT VALLEY,BARINGO,TANGULBEI,11
RIFT VALLEY,BARINGO,MUKUTANI,12
RIFT VALLEY,BARINGO,SACHO,13
RIFT VALLEY,BARINGO,TENGES,14
NORTH EASTERN,GARISSA,BALAMBALA,15
NORTH EASTERN,GARISSA,BENANE,16
NORTH EASTERN,GARISSA,BURA GARISSA,17
NORTH EASTERN,GARISSA,CENTRAL GARISSA,18
NORTH EASTERN,GARISSA,SHANT-ABAK,19
NORTH EASTERN,GARISSA,SANKURI,20
NORTH EASTERN,GARISSA,DADAAB,21
NORTH EASTERN,GARISSA,LIBOI,22
NORTH EASTERN,GARISSA,MODOGASHE,23
NORTH EASTERN,GARISSA,DANYERE,24
NORTH EASTERN,GARISSA,JARAJILA,25
NORTH EASTERN,IJARA,HULUGHO,26
NORTH EASTERN,IJARA,IJARA,27
NORTH EASTERN,IJARA,MASALANI,28
NORTH EASTERN,IJARA,SANGAILU,29
EASTERN,ISIOLO,CENTRAL ISIOLO,30
EASTERN,ISIOLO,GARBA TULLA,31
EASTERN,ISIOLO,KINNA,32
EASTERN,ISIOLO,MERTI,33
EASTERN,ISIOLO,SERICHO,34
EASTERN,ISIOLO,OLDONYIRO,35
NORTH EASTERN,MANDERA,ASHABITO,36
NORTH EASTERN,MANDERA,BANISA,37
NORTH EASTERN,MANDERA,CENTRAL MANDERA,38
NORTH EASTERN,MANDERA,ELWAK,39
NORTH EASTERN,MANDERA,FINO,40
NORTH EASTERN,MANDERA,RHAMU,41
NORTH EASTERN,MANDERA,LIBEHIA,42
NORTH EASTERN,MANDERA,MALKAMARI,43
NORTH EASTERN,MANDERA,DANDU,44
NORTH EASTERN,MANDERA,HARERI,45
NORTH EASTERN,MANDERA,WARGADUD,46
NORTH EASTERN,MANDERA,WARANKARA,47
NORTH EASTERN,MANDERA,KOTULO,48
NORTH EASTERN,MANDERA,SHIMBIR FATUMA,49
NORTH EASTERN,MANDERA,RHAMU DIMTU,50
NORTH EASTERN,MANDERA,LAFEY,51
NORTH EASTERN,MANDERA,KHALALIO,52
NORTH EASTERN,MANDERA,TAKABA,53
EASTERN,MARSABIT,CENTRAL MARSABIT,54
EASTERN,MARSABIT,LOIYANGALANI,55
EASTERN,MARSABIT,NORTH HORR,56
EASTERN,MARSABIT,LAISAMIS,57
EASTERN,MARSABIT,GADAMOJI,58
EASTERN,MARSABIT,MAIKONA,59
EASTERN,MOYALE,CENTRAL MOYALE,60
EASTERN,MOYALE,GOLBO,61
EASTERN,MOYALE,URAN,62
EASTERN,MOYALE,OBBU,63
RIFT VALLEY,SAMBURU,BARAGOI,64
RIFT VALLEY,SAMBURU,WASO,65
RIFT VALLEY,SAMBURU,WAMBA,66
RIFT VALLEY,SAMBURU,NYIRO,67
RIFT VALLEY,SAMBURU,LORROKI,68
RIFT VALLEY,SAMBURU,KIRISIA,69
COAST,TANA RIVER,TSAVO E N .PARK,70
COAST,TANA RIVER,BANGALE,71
COAST,TANA RIVER,BURA,72
COAST,TANA RIVER,MADOGO,73
COAST,TANA RIVER,GALORE,74
COAST,TANA RIVER,WENJE,75
COAST,TANA RIVER,KIPINI,76
COAST,TANA RIVER,GARSEN,77
RIFT VALLEY,TURKANA,KAKUMA,78
RIFT VALLEY,TURKANA,KALOKOL,79
RIFT VALLEY,TURKANA,KERIO,80
RIFT VALLEY,TURKANA,KAALING,81
RIFT VALLEY,TURKANA,OROPOI,82
RIFT VALLEY,TURKANA,LOMELO,83
RIFT VALLEY,TURKANA,TURKWEL,84
RIFT VALLEY,TURKANA,LOKORI,85
RIFT VALLEY,TURKANA,LOKITAUNG,86
RIFT VALLEY,TURKANA,LOKICHOGGIO,87
RIFT VALLEY,TURKANA,LOIMA,88
RIFT VALLEY,TURKANA,LAPUR,89
RIFT VALLEY,TURKANA,LOKICHAR,90
RIFT VALLEY,TURKANA,KIBISH,91
RIFT VALLEY,TURKANA,CENTRAL TURKANA,92
RIFT VALLEY,TURKANA,KAINUK,93
RIFT VALLEY,TURKANA,KATILU,94
NORTH EASTERN,WAJIR,BUNA,95
NORTH EASTERN,WAJIR,CENTRAL WAJIR,96
NORTH EASTERN,WAJIR,BUTE,97
NORTH EASTERN,WAJIR,WAJIR-BOR,98
NORTH EASTERN,WAJIR,DIFF,99
NORTH EASTERN,WAJIR,ELDAS,100
NORTH EASTERN,WAJIR,GRIFTU,101
NORTH EASTERN,WAJIR,GURAR,102
NORTH EASTERN,WAJIR,TARBAJ,103
NORTH EASTERN,WAJIR,HABASWEIN,104
NORTH EASTERN,WAJIR,KOTULO WAJIR,105
NORTH EASTERN,WAJIR,LAFALEY,106
NORTH EASTERN,WAJIR,SEBULE,107
NORTH EASTERN,WAJIR,HADADO,108