;Aggregated and intercalibrated zCumNDVI data for SPOT: extended by GIMMS for 1981S*-1998L* for Kenyan divisions
adminID, pixels, L+S_R2cv, L+S_R2cv_within, L+S_gain, L+S_offset, 1981S*, 1982L*, 1982S*, 1983L*, 1983S*, 1984L*, 1984S*, 1985L*, 1985S*, 1986L*, 1986S*, 1987L*, 1987S*, 1988L*, 1988S*, 1989L*, 1989S*, 1990L*, 1990S*, 1991L*, 1991S*, 1992L*, 1992S*, 1993L*, 1993S*, 1994L*, 1994S*, 1995L*, 1995S*, 1996L*, 1996S*, 1997L*, 1997S*, 1998L*, 1998S, 1999L, 1999S, 2000L, 2000S, 2001L, 2001S, 2002L, 2002S, 2003L, 2003S, 2004L, 2004S, 2005L, 2005S, 2006L, 2006S, 2007L, 2007S, 2008L, 2008S, 2009L, 2009S, 2010L, 2010S, 2011L, 2011S, 2012L, 2012S
1,468,0.512875, 0.598999, 1.24932, 0.220838, -4.64644,2.64603,8.04535,-9.60017,0.339382,-39.7138,-5.08291,3.68185,-6.82791,-7.46944,-12.3062,-2.35402,-2.91353,-0.428640,7.17149,6.82852,9.04285,-0.991117,0.739363,-11.9464,-6.46696,-13.3738,4.95071,-3.03405,-6.33797,-1.87457,15.0038,-15.9580,-0.365499,-8.16442,-3.35279,8.87450,19.0267,4.41116,-6.33628,-20.8402,-19.4002,-37.5003,-12.8267,-4.91474,-10.1249,-21.8472,-8.45247,1.76730,-5.33419,4.84475,5.64762,9.99982,-5.30756,-6.30050,12.8788,15.2365,3.05448,1.99643,4.25905,-23.4941,-1.29007,19.1638,-2.30956,3.54796,18.2441,17.3017,17.8539
2,488,0.416199, 0.518017, 1.52265, 0.116403, 3.16288,6.54590,16.6087,2.55144,3.83855,-55.6325,-5.44459,10.5590,-8.59815,2.49848,-15.0423,3.48613,-7.33764,-1.02463,6.64000,9.48824,12.1463,6.46232,2.76394,-19.1462,-12.1352,-14.3676,5.16437,-5.16786,-10.8115,-7.03486,8.55712,-6.07906,3.70926,-7.86894,-3.83236,12.9209,23.5900,12.1296,-6.20684,-12.9167,-16.7766,-31.6407,-7.97312,-3.61707,-10.2805,-21.3107,-6.93762,0.699948,-6.67704,3.14857,9.91624,12.1932,-12.0491,-5.96740,10.5835,22.5221,2.41778,0.277662,7.35841,-26.0654,-1.19757,21.4333,-1.33793,-3.31424,16.9548,21.3304,22.6067
3,336,0.766493, 0.807657, 1.38746, -0.123321, -2.72779,8.73676,6.56596,-3.64639,4.11892,-25.8044,-2.78756,2.26747,-4.47915,4.77165,-6.47812,3.12252,-4.00495,0.535790,5.79024,11.5109,14.9451,8.90411,6.95661,-2.29703,-4.15867,-7.07563,6.88102,-1.16342,-9.92201,-2.15953,11.7366,-0.974542,4.08687,-1.68179,4.97511,10.4459,14.2162,11.7035,-7.87697,-4.18070,-16.7950,-42.1376,0.104697,-7.94649,-7.22201,-12.7812,-11.2461,1.02415,-4.31315,3.23157,3.69143,7.54287,-10.3282,-6.39831,8.62249,16.9776,-1.15608,-3.72647,6.30648,-24.9094,-2.48738,20.3027,2.14023,6.68301,16.4168,12.7262,15.4272
4,365,0.743169, 0.788277, 1.37300, -0.0971045, -1.84644,7.76078,4.48932,-3.54572,-1.38511,-39.8339,-3.42828,3.96562,-8.46642,4.89109,-9.89154,3.35639,-8.40682,1.53516,3.96235,11.7337,8.85450,9.27244,3.86103,-9.94600,-8.31462,-8.87515,3.83708,-4.36726,-9.63049,2.93044,8.14878,-5.12020,-1.13865,-3.23566,-3.46649,13.3055,12.7325,12.2434,-6.15021,-5.64188,-18.7322,-38.8714,-4.11258,-6.95198,-7.06599,-12.9104,-8.06192,2.87929,-3.31688,1.84331,3.19235,5.72552,-9.29882,-1.70816,9.59575,16.9104,0.428320,-4.90679,4.51778,-21.7898,-1.07172,17.4738,-2.19698,3.43488,17.6100,12.0744,16.5206
5,384,0.818997, 0.850885, 1.35460, 0.0734845, -6.07912,2.55452,5.45125,-3.94658,-3.71903,-37.1199,-3.17601,3.22556,-6.35538,-1.64709,-9.57121,0.954874,-6.68544,-0.268123,4.98768,5.60845,6.40277,1.79123,-0.402049,-13.2958,-8.01692,-11.6050,4.99614,-7.81241,-8.14177,-0.837653,7.47743,-15.7814,-5.09381,-6.45632,-6.76454,12.6374,11.2330,6.80544,-3.05956,-5.61779,-18.4051,-32.5376,-9.34125,-6.61206,-3.30611,-15.8322,-7.64758,3.02333,-5.22136,3.62711,-0.772364,4.52707,-8.78012,-4.78753,12.4339,19.8160,2.77370,-3.46738,4.76882,-25.7216,0.207129,19.4183,-6.03406,6.00901,21.1050,17.8893,16.7613
6,1341,0.654477, 0.715536, 1.47652, 0.233224, -4.91481,-0.0433326,9.44127,-17.7433,2.21581,-51.3220,-6.23653,2.10237,-4.49502,-13.5023,-12.4657,-1.51607,-1.98021,2.52898,5.76320,6.25977,11.3069,-7.99942,-0.553268,-21.2296,-4.79808,-20.2432,3.75215,-6.85299,-5.93894,-11.5462,10.7612,-25.5061,-0.720329,-11.2308,-4.07838,16.3641,25.9984,4.78795,-2.09447,0.400744,-6.72203,-19.6550,-8.66343,-1.06162,-3.78444,-19.3202,-8.13442,1.00472,-8.46919,-5.25179,1.73253,4.74871,-7.69869,-10.1909,11.4767,19.4157,-0.182495,1.53111,5.11159,-15.9985,4.65933,19.9168,-4.16992,5.20597,19.9146,21.6692,13.8365
7,308,0.759144, 0.801465, 1.33321, -0.270854, 2.90560,3.71824,9.03401,-3.12483,2.52074,-41.2355,-3.55598,7.03386,-13.0281,6.19801,-4.01843,3.34518,-5.07677,5.37146,-0.513270,7.56723,5.99471,11.3368,2.39494,-4.00668,-13.9760,-10.7470,2.94281,-1.13005,-15.8694,-0.646239,13.2540,-3.33848,2.03292,4.30259,-4.14528,8.55918,17.9384,8.18722,-1.07311,-0.470816,-7.93482,-27.0593,-3.12714,6.44861,-6.53952,-7.57169,-7.89012,6.34115,2.77539,7.54590,5.75144,0.0105479,-10.0613,-7.21829,8.13230,13.9062,0.872135,-14.5746,5.26828,-31.1542,-4.24834,20.4629,-2.46255,5.80350,13.3560,11.3084,13.0196
8,170,0.563718, 0.640445, 1.52772, 0.0328599, 0.614614,14.6583,13.7743,2.76911,8.37800,-38.0459,-2.27164,17.7613,-5.76750,3.25455,-12.0554,4.69175,-4.76435,-2.58156,4.34658,16.5434,18.8350,14.6624,6.94161,-8.03477,-4.50308,-8.17317,4.72450,-3.55218,-18.6568,-2.95912,15.1983,5.43502,8.83876,2.10294,5.20754,17.2284,17.3713,12.6430,-10.9695,-20.8733,-16.1108,-39.1676,-4.07731,-7.14923,-8.54710,-19.4589,-9.90881,2.63007,-6.04819,1.38888,4.64485,5.44054,-14.4832,-5.96978,10.5606,25.7246,3.86436,-0.338861,7.09280,-27.0432,-0.0274663,23.6440,1.61390,1.13185,15.5327,22.8106,22.6945
9,2174,0.719472, 0.768540, 1.27543, 0.0692558, -3.59235,0.0610903,11.1832,-6.94451,1.69377,-31.6537,-2.62866,6.83276,-1.79468,-0.209446,-7.44901,0.832710,-0.165286,6.79615,6.04694,9.08970,9.62893,-3.85436,-1.71830,-10.2925,-2.28299,-15.5183,6.92950,-5.80803,-4.43065,-1.21666,5.72058,-15.4234,-2.96889,-4.07795,-2.03722,18.6969,21.7767,0.227039,-3.29130,-2.76679,-13.9719,-26.9678,-10.4109,-5.57540,-4.25620,-15.3807,-9.18721,-0.294168,-4.83952,0.342516,1.73302,3.00942,-6.87137,-12.9227,10.4177,16.8795,-1.36279,-2.45959,3.99521,-15.2417,3.32998,20.9839,-6.73055,10.6589,22.3839,24.7495,12.1866
10,647,0.667191, 0.725361, 1.21977, -0.242197, -6.20293,-2.13056,1.82831,-6.69521,-2.66357,-36.7382,-8.42669,4.87782,-11.2728,3.84781,-9.79014,3.36969,-6.68725,5.48948,-0.448137,5.42219,2.00891,-0.973802,-6.73397,-7.98336,-11.0200,-12.9585,-3.06818,-8.98385,-12.5666,-2.64627,1.16348,-9.46446,-5.45110,-1.72188,-5.31254,13.7162,12.5471,6.52111,-5.92190,-5.22170,-16.2137,-27.6843,-6.14930,-9.94060,-2.97478,-9.97718,-9.06518,5.30116,-4.49921,-0.330674,-2.10921,-3.66914,-7.66067,-11.7091,9.66917,20.8975,-0.728310,-4.20040,6.69483,-19.6997,2.04365,23.3444,-4.50943,9.98382,22.7491,25.6205,18.4157
11,1044,0.765202, 0.806271, 1.43347, -0.0984942, -4.27669,-12.3727,11.1722,-15.9115,1.69978,-51.1725,-2.82758,-2.94611,-4.95968,0.637208,-3.28963,-1.87554,-0.617561,2.70156,3.92814,-2.95258,4.75643,-15.9168,-3.33131,-23.6782,-2.93344,-21.3273,1.30222,-16.2789,-8.13922,-7.11010,-0.195892,-14.8338,-3.98248,-9.60763,-1.95798,10.4254,22.9286,-5.97439,-5.95302,-1.52311,-16.8871,-31.6799,-6.72505,-2.79983,-6.63708,-8.65128,-11.5863,3.17983,-0.970795,-0.0115118,2.38186,-0.0645353,-8.51161,-9.55647,11.4831,17.8998,-0.00275066,-10.9639,4.62833,-24.3098,-0.663670,23.8906,-4.59966,11.3871,23.8103,20.8427,10.6948
12,504,0.859332, 0.883803, 1.32294, -0.0676532, -7.99146,-4.15730,6.20877,-10.1876,0.208423,-45.4008,-1.30890,2.65636,-9.77394,3.10298,-7.20400,2.59767,-0.958275,3.14101,1.12394,1.57635,2.46903,-6.71029,-4.13351,-19.0323,-12.8530,-21.4194,-2.57630,-8.96081,-8.78279,-2.07174,4.62048,-12.7762,-6.00976,-2.32841,-6.49238,15.0000,19.4616,2.31266,-6.92579,-2.38531,-16.3609,-21.4295,-9.46412,1.26844,-2.58588,-4.61634,-10.3562,4.23555,-2.53788,2.86474,2.44932,-0.559013,-10.8088,-15.7174,8.33265,18.6325,5.26009,-10.2205,7.33080,-29.5906,-0.348996,23.3574,-5.35767,10.3452,18.4930,15.6717,9.34848
13,182,0.588399, 0.659733, 1.19685, 0.000865161, 2.80701,6.22091,9.50505,-1.57170,5.78889,-26.4883,-3.00454,4.20751,-3.34738,-0.843159,-4.64550,0.181296,-4.93894,-7.60455,9.40051,9.54801,17.4280,8.07566,2.40755,-7.96093,-4.58424,-9.65913,12.4226,-2.61688,-12.8734,-4.50416,13.8134,6.11597,3.46394,-3.07907,6.17928,13.2440,14.1145,8.98872,-13.4951,-18.0535,-23.6224,-53.7439,-2.66756,-6.91548,-9.33647,-13.2778,-12.8838,4.04490,-5.36156,2.02155,4.79673,8.41187,-6.18621,-4.18734,9.38916,19.3211,3.30444,-1.11804,6.87443,-26.5488,-5.97840,20.5675,3.73733,-2.31944,14.8445,15.8897,17.1582
14,236,0.656573, 0.716004, 1.38768, -0.0512611, -0.384726,8.68842,7.53162,0.280313,2.34245,-34.5767,-6.38451,10.3979,-8.14507,10.9133,-5.58389,6.37445,-6.57420,4.00323,7.96635,17.3669,16.6950,14.1580,-0.266658,0.936963,-6.61579,-6.61472,8.56811,5.16156,-14.7560,5.72958,22.3320,5.79406,-1.10427,-1.43779,3.37627,22.2001,14.1658,17.4139,-8.26755,-16.3381,-26.1188,-56.3786,-4.34115,-8.19221,-8.23422,-9.03003,-12.5902,7.76803,-5.52314,2.11627,-2.05505,7.61043,-5.62307,-11.3812,9.56116,20.5277,5.20224,-2.83879,6.71419,-27.4076,-1.68338,21.8212,0.692979,-0.993724,17.3691,16.8441,14.9908
15,1755,0.265326, 0.379532, 0.988813, 0.0429072, -5.11665,1.41355,-0.463052,0.128309,-6.78503,-8.47380,6.72735,14.2407,-9.60703,16.0107,6.09160,5.11481,-8.98386,-1.04842,-1.91774,3.54024,1.73319,14.6421,6.90047,1.36586,-5.28362,-0.0700765,4.51701,2.05747,-3.14916,-6.95390,4.34421,8.12719,-2.49374,-1.34276,-3.89515,15.7665,27.5708,33.4269,5.68512,29.2478,23.2101,11.5971,-15.0096,-18.7752,4.46148,12.5409,5.70735,10.1340,5.53763,-0.347537,2.49874,-10.0750,-16.1375,-13.5642,10.6000,-2.85053,-0.457624,12.9016,0.208778,10.9073,-3.81801,15.1850,-15.8234,-16.0563,18.3540,-3.54823,-3.66411
16,866,0.285556, 0.400932, 0.919042, 0.332587, -0.0363964,10.6285,4.32299,-0.268359,0.967677,-2.18357,15.3605,8.80921,-2.69970,4.19054,14.1309,3.35928,-1.47596,1.11197,4.46825,2.16050,7.87149,14.7612,7.90354,7.37833,2.79715,2.09317,17.4026,9.78852,5.23821,-0.464348,13.2633,9.12070,1.87828,0.649886,1.23848,20.2269,44.3496,34.0497,12.1602,13.3827,10.5620,-6.94338,-18.6070,-13.4590,-8.06144,6.80213,12.6684,30.2600,9.50256,5.49011,6.62365,-3.64426,-14.5614,-8.05879,20.6844,-5.21865,-4.30938,10.6063,1.20856,-5.83006,-7.37264,4.98170,-12.6500,-21.9295,7.57573,-13.2558,-1.58604
17,5355,0.543409, 0.619483, 1.12547, 0.172742, -5.05491,1.47765,2.78919,0.510018,-7.00721,-10.8263,-1.73941,0.829385,-6.89116,0.557943,-2.41878,10.5657,-7.34717,2.05534,-4.23092,-0.701363,4.55872,13.1916,0.484528,2.00609,-10.5287,-6.35260,3.86622,0.769143,-1.78941,-0.441182,1.09135,-0.222919,-3.18548,-5.24796,-5.26311,9.38588,22.1006,32.7961,-0.287406,0.162122,13.1412,7.48559,-4.33966,-10.0475,-5.73160,6.07080,5.81852,4.68240,2.90965,4.22967,-5.11834,-9.46641,-14.4111,-11.6238,15.1620,8.99591,13.9230,13.1768,-5.28916,-8.10145,2.94458,14.6502,-14.4922,-12.5666,15.5147,-8.60830,-2.77829
18,713,0.441995, 0.537045, 1.14542, 0.252177, -8.48417,-2.52009,6.95645,-3.97975,-6.49031,-9.16872,7.38568,-2.54713,-8.38571,-4.90347,0.670896,-3.67415,-7.40120,-0.773538,-2.87458,1.70670,6.35927,16.3616,3.65513,-2.55724,-7.90677,-6.84636,5.72342,-5.63477,1.25441,-2.54485,3.79875,10.6871,-0.418686,-2.68431,-4.31475,5.16146,30.0371,31.8524,8.59713,5.30177,14.6426,4.59710,-12.9436,-13.8819,-6.10562,5.22613,10.5501,15.3062,1.44102,-5.40167,-6.17884,-15.5447,-15.0529,-18.7021,12.8601,10.1172,8.44188,12.7276,-3.05906,-3.88013,1.78389,22.8025,-12.4316,-8.76919,16.7721,-7.12613,-5.77798
19,3655,0.0406775, 0.202259, 0.745716, -0.0604321, -3.75827,8.33588,1.41180,1.29310,-3.09503,-3.22016,5.93222,7.28082,-5.12480,9.65133,2.09593,0.301150,-4.11710,7.07435,1.04110,2.89236,0.711115,10.9800,1.40196,2.73068,-2.84892,1.43999,4.57049,3.67282,-1.12034,-0.223299,3.48282,5.89354,-2.60825,-0.751645,-2.15815,15.1739,18.3819,32.6673,2.47987,16.3120,13.5632,4.45259,-15.5229,-24.9152,-5.86340,13.8963,4.40615,5.35653,3.85217,5.66504,-1.29906,-10.8060,-12.6682,-6.72921,23.1145,11.5510,-2.38621,6.12001,-5.86013,-0.193004,4.38463,11.9982,-12.3851,-11.9437,19.7542,7.73210,-3.88732
20,1532,0.352869, 0.464020, 1.13187, 0.307307, -5.07557,-1.76571,1.72192,-1.19665,-7.06157,-10.5458,7.43322,8.62180,-10.3028,11.3022,6.82279,-3.40489,-9.16634,0.0200406,-4.44071,-0.821731,3.23933,16.7629,4.99582,-0.480427,-8.91585,-6.66266,9.47506,-5.68418,-1.21742,-7.74262,2.74753,12.1192,-3.48033,-7.26262,-5.92467,6.25002,28.7295,38.0534,-1.31164,7.82420,18.2633,3.75987,-19.5985,-26.9503,1.53681,12.9001,4.83599,7.17522,5.88556,5.89484,-2.72118,-13.1997,-14.2717,-15.4318,11.9830,7.98282,6.19061,10.7100,-4.38615,4.13201,2.79780,16.1953,-14.4230,-9.40861,12.4139,-9.02293,-6.69608
21,3606,0.347034, 0.456099, 1.08446, 0.137646, -7.40374,5.56603,2.10757,2.10875,-3.94657,-6.16001,5.91358,16.4028,-5.51616,11.6066,2.32956,-1.97535,-7.00390,7.44284,-3.55868,-0.264849,5.01634,19.8005,1.67236,1.73169,-5.16322,-2.39780,2.53068,-0.0229517,-1.17156,0.200420,3.24250,10.2162,-2.20384,-4.29470,-3.34024,2.22856,23.4073,40.6916,6.43422,3.31736,20.1336,11.4117,-14.8364,-22.1750,-6.01594,6.50693,0.833135,13.6292,4.00853,2.33340,2.95285,-4.62428,-14.7421,-15.0600,21.2674,12.4624,3.39385,4.46623,-7.83935,-4.55751,3.03242,19.4885,-12.8319,-12.4698,19.7179,-1.67345,-2.70201
22,3292,0.717334, 0.761875, 1.24316, 0.201623, -1.63653,3.82004,6.31449,21.1552,0.185227,-4.38521,0.280660,19.0803,-8.58042,8.84846,-3.91725,13.9860,-6.90168,9.89985,-4.81920,-0.627924,3.80370,23.7015,2.85078,5.68835,-10.3627,-9.06798,2.10371,3.67495,-3.82796,7.54119,2.29001,11.1723,0.184417,-6.51895,-8.18910,8.54500,23.0973,37.2487,3.81915,6.92518,4.05293,-5.61482,-7.75633,-10.7133,-9.15882,9.21515,6.05604,5.68449,12.0974,-4.83594,4.59624,5.34031,-15.6141,-14.2199,15.5813,13.7320,7.24921,6.36157,-5.25659,-4.64522,2.85534,15.0174,-17.2523,-20.9365,12.2291,0.210903,-1.74906
23,2107,0.479905, 0.564034, 1.03723, 0.109812, -3.07768,4.67195,4.89545,-5.75557,-0.618258,-9.19418,12.2860,0.0127501,-4.04327,2.23431,10.1243,-4.30792,-2.47044,-1.55545,3.87064,-4.39972,2.94684,5.10800,5.98680,-0.842262,-0.148063,-4.77717,12.4848,0.0992129,2.34762,-7.39739,8.37582,4.26131,-0.519384,-6.27753,-0.500156,17.1747,40.2659,35.2194,8.16355,29.0211,14.2655,3.82096,-13.2782,-8.96236,-3.38481,21.4801,10.7888,20.7711,6.40761,-1.26740,-3.17770,-12.8872,-16.3805,-11.2248,18.4952,-4.75929,-8.06619,6.29189,-1.20903,-8.23525,3.53189,14.9507,-12.6336,-16.1575,19.0656,4.94358,-2.26164
24,1017,0.268601, 0.375458, 0.934641, 0.143273, -6.10126,11.5148,4.02737,2.35549,-6.35083,0.917245,6.29953,12.5780,-7.19712,9.02561,3.62857,7.74138,-7.11906,-2.30409,-0.252647,7.15007,5.17229,22.1095,11.1101,8.95455,-2.08144,9.10444,13.3717,17.4940,1.89688,6.79799,12.1756,8.45141,0.314166,3.36565,-0.738447,15.8654,23.1632,33.8620,12.3989,12.9283,11.9589,-0.222567,-16.5272,-18.2858,-0.800341,-2.46234,5.61667,17.7433,10.8821,9.67829,10.6812,-5.44769,-17.2755,-6.96944,11.4537,-0.220567,0.199477,6.59250,-1.08972,5.30619,-5.86793,17.7247,-17.1226,-23.6592,12.5642,-3.79152,-1.31252
25,9012,0.702842, 0.751286, 1.28286, 0.213164, -7.60997,-2.66876,0.561298,4.34949,-7.08032,-7.28914,-1.61952,2.95739,-11.9287,0.795552,-3.63259,9.13457,-8.87329,1.28897,-6.90013,-2.76946,2.76459,16.0222,-1.78953,-2.75045,-11.2153,-7.52695,0.0932193,-3.12855,-3.77816,-0.917242,0.292577,6.68215,-2.96871,-8.00803,-7.58711,-1.29942,20.7720,37.6761,4.36708,7.39115,13.3031,8.96031,-6.19355,-9.19402,-8.41493,9.87499,7.27229,7.53412,3.96466,-6.32982,1.25503,-2.59964,-16.3905,-14.7398,16.7368,11.9946,9.83424,9.25723,-4.86618,-6.41120,1.26125,15.8046,-13.9663,-15.1912,16.5260,-2.13149,1.32699
26,5200,0.855163, 0.875423, 1.41200, 0.154779, -16.1575,-5.93539,-2.72278,6.54666,-13.3782,-6.00818,-2.28550,-0.579522,-19.2074,-4.48810,-6.98241,4.16758,-15.3744,2.36606,-12.0594,-8.36296,-3.50456,3.14226,-1.47734,-8.75406,-18.5727,-15.2404,-6.73221,-4.37767,-10.5029,-9.54860,-0.171358,-2.79147,-11.5827,-9.22831,-17.0756,-0.564168,12.8386,18.9478,-7.12082,15.3779,10.2999,-3.04954,-2.94606,4.78849,-9.83195,3.46644,7.86593,0.729150,-2.15155,-0.878717,1.48069,1.48723,-9.34076,-1.40965,18.2549,10.8694,7.87060,5.13701,-11.3888,-12.1142,6.26995,9.91279,-11.1036,-21.9878,12.6844,-15.9702,-0.313485
